config,archetype,policy,day,rate_med,balance_med,earned_med
stalo,hardcore,normal,28,222.0,207224,88440
stalo,hardcore,normal,29,234.0,280919,95048
stalo,hardcore,normal,30,244.5,353498,99008
bylo,casual,exploit,1,4.0,10,60
bylo,casual,exploit,2,29.0,75,3202
bylo,casual,exploit,3,80.0,7025,20630
bylo,casual,exploit,4,136.5,25118,46275
bylo,casual,exploit,5,298.5,55952,90522
bylo,casual,exploit,6,417.0,99085,173150
bylo,casual,exploit,7,630.5,206588,243075
bylo,casual,exploit,8,789.0,496812,334110
bylo,casual,exploit,9,1011.2,879970,431260
bylo,casual,exploit,10,1163.0,1331555,546935
bylo,casual,exploit,11,1312.2,1903085,595048
bylo,casual,exploit,12,1441.8,2596408,679520
bylo,casual,exploit,13,1564.0,3349852,738865
bylo,casual,exploit,14,1768.8,4197475,798032
bylo,casual,exploit,15,1966.2,5041522,898860
bylo,casual,exploit,16,2276.2,6143438,1042160
bylo,casual,exploit,17,2492.5,7263938,1166715
bylo,casual,exploit,18,2605.0,8465110,1249545
bylo,casual,exploit,19,2651.5,9743295,1296430
bylo,casual,exploit,20,2758.8,11017790,1337375
bylo,casual,exploit,21,2892.8,12213228,1404465
bylo,casual,exploit,22,2916.0,13659190,1458000
bylo,casual,exploit,23,2916.0,15171818,1458000
bylo,casual,exploit,24,2916.0,16596682,1458000
bylo,casual,exploit,25,2916.0,18011948,1458000
bylo,casual,exploit,26,2916.0,19439212,1458000
bylo,casual,exploit,27,3037.5,20853158,1504170
bylo,casual,exploit,28,3037.5,22328715,1488982
bylo,casual,exploit,29,3037.5,23827980,1518750
bylo,casual,exploit,30,3037.5,25363172,1518750
bylo,hardcore,exploit,1,83.0,1151,11220
bylo,hardcore,exploit,2,517.5,39820,148930
bylo,hardcore,exploit,3,1143.8,222980,566648
bylo,hardcore,exploit,4,1861.0,1166016,1016958
bylo,hardcore,exploit,5,2551.5,2681458,1531387
bylo,hardcore,exploit,6,2880.2,4473552,1907246
bylo,hardcore,exploit,7,3037.5,6538361,2074916
bylo,hardcore,exploit,8,3159.0,8615088,2149672
bylo,hardcore,exploit,9,3280.5,11068226,2257166
bylo,hardcore,exploit,10,3523.5,13553205,2398410
bylo,hardcore,exploit,11,3645.0,15966145,2487712
bylo,hardcore,exploit,12,3645.0,18424905,2569725
bylo,hardcore,exploit,13,3734.2,20943144,2569725
bylo,hardcore,exploit,14,4159.5,23573981,2669962
bylo,hardcore,exploit,15,4252.5,26347021,2964341
bylo,hardcore,exploit,16,4374.0,29303134,3044486
bylo,hardcore,exploit,17,4738.5,32431305,3120120
bylo,hardcore,exploit,18,4738.5,35486059,3340642
bylo,hardcore,exploit,19,4860.0,38856986,3357044
bylo,hardcore,exploit,20,5042.2,42425481,3477330
bylo,hardcore,exploit,21,5103.0,46281723,3557520
bylo,hardcore,exploit,22,5192.2,50309370,3611328
bylo,hardcore,exploit,23,5285.2,54342999,3692846
bylo,hardcore,exploit,24,5406.8,58127606,3768930
bylo,hardcore,exploit,25,5832.0,61935213,3841830
